run,arch_type,num_registers,use_cnn_stem,head_type,swa,data_mode,dim,depth,params,epochs,best_epoch,best_val_cer,best_val_wer,best_test_cer,best_test_wer,last_val_cer,last_val_wer,last_test_cer,last_test_wer
run_107,cnn_rnn,N/A,False,both,True,iam,?,?,7363168,80,77,0.032807850274218536,0.11796753391149656,0.04868606673009416,0.16531175703658255,0.03307837977423084,0.11818990438069825,0.04857124110101375,0.16458317355625432
run_115,cnn_rnn,N/A,False,both,False,iam,?,?,7363168,80,73,0.03448021445611274,0.12208138759172782,0.0502280108920311,0.1719840478564307,0.0349228990924965,0.12386035134534133,0.04989173583543847,0.17094869238438531
run_143,cnn_rnn,N/A,False,both,False,iam,?,?,7363168,150,108,0.0332505349106023,0.11852346008450078,0.04890751615760638,0.1646598665541836,0.03371781313789626,0.119079386257505,0.04842360814933893,0.1633560855893857
run_145,cnn_rnn,N/A,False,both,True,iam,?,?,7363168,150,150,0.03175032586507956,0.11207471647765177,0.04616810472097372,0.15695222026229005,0.03175032586507956,0.11207471647765177,0.04616810472097372,0.15695222026229005
run_166,cnn_rnn,N/A,False,both,False,iam,?,?,7374706,150,126,0.04407155600559333,0.20015143866733973,0.040555680035850326,0.18292113859076062,0.04407155600559333,0.19989904088844018,0.040241989693031596,0.1791880541297247
run_189,cnn_rnn,N/A,False,both,False,synthetic,?,?,7358040,11,11,0.005248016231782546,0.016681873547667952,0.3545241297857682,0.6869775289516067,0.005248016231782546,0.016681873547667952,0.3545241297857682,0.6869775289516067
run_191,cnn_rnn,N/A,False,both,True,synthetic,?,?,7358040,11,11,0.004989160412570495,0.016005429530714155,0.33318296643810896,0.6766623207301173,0.004989160412570495,0.016005429530714155,0.33318296643810896,0.6766623207301173
run_116,vit_rgts,0,True,both,False,iam,256,6,9475680,80,79,0.041071296820048696,0.14354013786969091,0.059783143597650995,0.19460848224557098,0.0410958904109589,0.1437625083388926,0.06026705160591844,0.19537541222486388
run_117,vit_rgts,0,True,both,True,iam,256,6,9475680,80,63,0.04158776222916308,0.14509673115410274,0.06267838981660706,0.20480865097016643,0.08425764245837535,0.2800756059595286,0.10325284603523506,0.32222563079990796
run_144,vit_rgts,0,True,both,False,iam,256,6,9475680,150,142,0.03959568136543617,0.13875917278185457,0.05744562186279978,0.18870312140501572,0.04011214677455055,0.14076050700466977,0.05744562186279978,0.1883580029143339
run_147,vit_rgts,0,True,both,True,iam,256,6,9475680,150,124,0.041071296820048696,0.14354013786969091,0.059036777008628326,0.19119564383771762,0.4007771574727626,0.7454969979986658,0.39266264230176173,0.7423882199555181
run_185,vit_rgts,0,True,both,False,iam,256,6,9487218,150,138,0.05299194753845412,0.23119636547198386,0.04732242885951154,0.20648623425104992,0.054197405853705576,0.23447753659767795,0.04687429979834192,0.2053196453569762
run_192,vit_rgts,0,True,both,False,synthetic,256,6,9470552,10,2,0.007761392035234845,0.026226251421431365,0.3031314589416358,0.625354705115423,0.7978383635744182,1.0227226759316275,0.8101686296381352,1.0126543446583327
