run,arch_type,num_registers,use_cnn_stem,head_type,swa,data_mode,dim,depth,params,epochs,best_epoch,best_val_cer,best_val_wer,best_test_cer,best_test_wer,last_val_cer,last_val_wer,last_test_cer,last_test_wer
run_191,cnn_rnn,N/A,False,both,True,synthetic,?,?,7358040,11,11,0.004989160412570495,0.016005429530714155,0.33318296643810896,0.6766623207301173,0.004989160412570495,0.016005429530714155,0.33318296643810896,0.6766623207301173
run_192,vit_rgts,0,True,both,False,synthetic,256,6,9470552,10,2,0.007761392035234845,0.026226251421431365,0.3031314589416358,0.625354705115423,0.7978383635744182,1.0227226759316275,0.8101686296381352,1.0126543446583327
run_194,vit_rgts,2,True,both,False,synthetic,256,6,9471576,11,2,0.008027861260894309,0.027042029421943753,0.3014910928119156,0.630416442978756,0.7681489334569243,1.0502456323290799,0.7896968603392277,1.0545287215277246
run_197,vit_rgts,4,True,both,True,synthetic,256,6,9472600,10,2,0.008252932588995962,0.027599365356178115,0.3141957284865982,0.653501035355472,0.7816517856293147,1.0518367365284265,0.8021882484170467,1.0649206227471433
run_200,vit_rgts,8,True,both,True,synthetic,256,6,9474648,11,3,0.008130642247934387,0.026983599041741763,0.3104392900495391,0.6519288288979216,0.7726598767770166,1.0202820838970368,0.7933958859617467,1.0257688473042412
run_199,vit_rgts,16,True,both,False,synthetic,256,6,9478744,11,2,0.008060694076198778,0.027064502645098364,0.3096519143072734,0.6447963800904978,0.7985744848103025,1.0260756808262954,0.8145073980512451,1.033131375105453
run_203,torchvision_vit,0,False,rnn,True,synthetic,?,?,91862839,2,2,0.04531737436451848,0.14290048407322675,0.4668071913651127,0.7819618068870312,0.04531737436451848,0.14290048407322675,0.4668071913651127,0.7819618068870312
run_174,torchvision_vit,4,False,rnn,False,iam,?,?,91867963,150,149,0.12176286859644377,0.32354903268845897,0.15093008759555132,0.38189278318889486,0.12343523277833797,0.32655103402268176,0.15123355532954955,0.3818160901909656
run_178,trocr,N/A,False,rnn,False,iam,?,?,90373715,150,148,0.09975160473180689,0.2759617522792973,0.12379022997933138,0.32598358769844316,0.10014510218637024,0.27562819657549475,0.12313408352744333,0.325139964721221
run_142,htrvt,4,False,rnn,False,iam,256,4,8754233,80,76,0.05492068084285645,0.24154467440686522,0.048173874075733814,0.20578628091460568,0.05559573749939727,0.24230186774356385,0.04839793860631862,0.20648623425104992
